# IMAGE TRACKING DASHBOARD - Birks 1973 Skye Vegetation Survey
# Updated: 2026-07-01T18:46:40+00:00
# Images: 96 total, 94 successful, 2 unsuccessful
# Unsuccessful images (need a real rescan): 49, 50 (Table 4.40)
# output.csv: 26953 rows across 54 tables, needs_review=2278 (8.45%)
#
image_number,image_file,status,observations_added,note
1,images/Birks-HJB-1973-Present-Flora-Veg-Skye_1.png,successful,175,Reference table 4.1 (verified).
2,images/Birks-HJB-1973-Present-Flora-Veg-Skye_2.png,successful,108,Transcribed from scan.
3,images/Birks-HJB-1973-Present-Flora-Veg-Skye_3.png,successful,72,Transcribed from scan.
4,images/Birks-HJB-1973-Present-Flora-Veg-Skye_4.png,successful,616,Transcribed from scan.
5,images/Birks-HJB-1973-Present-Flora-Veg-Skye_5.png,successful,232,Transcribed from scan.
6,images/Birks-HJB-1973-Present-Flora-Veg-Skye_6.png,successful,52,Transcribed from scan.
7,images/Birks-HJB-1973-Present-Flora-Veg-Skye_7.png,successful,156,Transcribed from scan.
8,images/Birks-HJB-1973-Present-Flora-Veg-Skye_8.png,successful,456,"Table 4.8 transcribed from clean scan supplied for manual review; per-releve Domin cells flagged needs_review, verify against source."
9,images/Birks-HJB-1973-Present-Flora-Veg-Skye_9.png,successful,207,Transcribed from scan.
10,images/Birks-HJB-1973-Present-Flora-Veg-Skye_10.png,successful,143,Transcribed from scan.
11,images/Birks-HJB-1973-Present-Flora-Veg-Skye_11.png,successful,78,Transcribed from scan.
12,images/Birks-HJB-1973-Present-Flora-Veg-Skye_12.png,successful,160,Re-verified by direct scan read (no ollama): plot metadata (ref code / map reference / altitude / aspect / slope) corrected against the printed table; coordinate now verified on Skye landmass.
13,images/Birks-HJB-1973-Present-Flora-Veg-Skye_13.png,successful,259,Transcribed from scan; table 4.13 releve 5 printed total is one higher than visible entries.
14,images/Birks-HJB-1973-Present-Flora-Veg-Skye_14.png,successful,152,Re-verified by direct scan read (no ollama): plot metadata (ref code / map reference / altitude / aspect / slope) corrected against the printed table; coordinate now verified on Skye landmass.
15,images/Birks-HJB-1973-Present-Flora-Veg-Skye_15.png,successful,46,Transcribed from scan; chemistry-only Table 4.16 not included in species output.
16,images/Birks-HJB-1973-Present-Flora-Veg-Skye_16.png,successful,0,Handled; Table 4.16 is a chemistry-only continuation with no species-by-releve matrix.
17,images/Birks-HJB-1973-Present-Flora-Veg-Skye_17.png,successful,105,Transcribed from scan; table 4.17 releve 5 printed total is one higher than visible entries.
