table_id,species,corrected_species,validation_status,confidence,flag,note,observations_count,present_count,domin_values_seen
table_4_1,*Parmelia glabratula,*Parmelia glabratula,format_checked,medium,true,"Format check only; leading asterisk preserved from source, verify meaning before final analysis.",7,3,.;3;x
table_4_1,Antitrichia curtipendula,Antitrichia curtipendula,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,2,.;3;x
table_4_1,Cladonia subervicornis,Cladonia subervicornis,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,2,.;1
table_4_1,Dicranum scoparium,Dicranum scoparium,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,4,.;2;3;x
table_4_1,F. tamarisi,F. tamarisi,format_checked,low,true,Format check only; abbreviated genus should be expanded during taxonomic cleaning.,7,3,.;3;x
table_4_1,Festuca rubra,Festuca rubra,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,2,.;2;x
table_4_1,Frullania germana,Frullania germana,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,3,.;3;x
table_4_1,Glyphomitrium daviesii,Glyphomitrium daviesii,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,3,.;2;x
table_4_1,Grimmia trichophylla,Grimmia trichophylla,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,4,.;1;2;x
table_4_1,Hedwigia ciliata,Hedwigia ciliata,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,7,4;5;6;x
table_4_1,Hypnum cupressiforme,Hypnum cupressiforme,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,7,1;2;4;x
table_4_1,Isothecium myosuroides,Isothecium myosuroides,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,4,.;3;4;x
table_4_1,Lecanora dispersa,Lecanora dispersa,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,3,.;1;2;x
table_4_1,Lecidea cyathoides,Lecidea cyathoides,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,7,4;5;6;x
table_4_1,O. tartarea,O. tartarea,format_checked,low,true,Format check only; abbreviated genus should be expanded during taxonomic cleaning.,7,2,.;5;x
table_4_1,Ochrolechia parella,Ochrolechia parella,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,3,.;3;4;5
table_4_1,P. omphalodes,P. omphalodes,format_checked,low,true,Format check only; abbreviated genus should be expanded during taxonomic cleaning.,7,7,3;4;5;x
table_4_1,P. saxatilis,P. saxatilis,format_checked,low,true,Format check only; abbreviated genus should be expanded during taxonomic cleaning.,7,7,4;6;x
table_4_1,Pterogonium gracile,Pterogonium gracile,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,2,.;3;x
table_4_1,Ptychomitrium polyphyllum,Ptychomitrium polyphyllum,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,3,.;4;x
table_4_1,R. heterostichum,R. heterostichum,format_checked,low,true,Format check only; abbreviated genus should be expanded during taxonomic cleaning.,7,7,5;6;7;x
table_4_1,Rhacomitrium fasciculare,Rhacomitrium fasciculare,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,7,1;3;7;x
table_4_1,Scapania gracilis,Scapania gracilis,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,3,.;4;x
table_4_1,Sedum anglicum,Sedum anglicum,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,4,.;3;x
table_4_1,Ulota hutchinsiae,Ulota hutchinsiae,format_checked,medium,false,"Format check only; binomial-looking name, not taxonomically validated against an authority.",7,2,.;2;x
